Agent IP	Total Cache Size	Free Cache Size	Chunks Cached Count	Chunks Download Count
192.168.1.10	1073741824	1073741824	0	0

Chunk Name	Chunk Size	Chunk Hit Count (Local)	Time of Cached	Last Accessed Time

Agent IP	Total Cache Size	Free Cache Size	Chunks Cached Count	Chunks Download Count
192.168.1.12	1073741824	1073741824	0	0

Chunk Name	Chunk Size	Chunk Hit Count (Local)	Time of Cached	Last Accessed Time

Agent IP	Total Cache Size	Free Cache Size	Chunks Cached Count	Chunks Download Count
192.168.1.14	1073741824	1073741824	0	0

Chunk Name	Chunk Size	Chunk Hit Count (Local)	Time of Cached	Last Accessed Time

